timestamp,elapsed_min,alive,rss_mib,cpu_pct
2026-07-29T04:41:49Z,2,1,932,120
2026-07-29T04:43:49Z,4,1,918,122
2026-07-29T04:45:49Z,6,1,919,123
2026-07-29T04:47:49Z,8,1,933,123
2026-07-29T04:49:49Z,10,1,952,124
2026-07-29T04:51:50Z,12,1,978,125
2026-07-29T04:53:50Z,14,1,978,125
2026-07-29T04:55:50Z,16,1,980,125
2026-07-29T04:57:50Z,18,1,982,126
2026-07-29T04:59:50Z,20,1,985,126
2026-07-29T05:01:50Z,22,1,987,126
2026-07-29T05:03:50Z,24,1,990,126
2026-07-29T05:05:50Z,26,1,968,126
2026-07-29T05:07:50Z,28,1,1067,126
2026-07-29T05:09:50Z,30,1,1067,125
2026-07-29T05:11:50Z,32,1,1067,124
2026-07-29T05:13:50Z,34,1,1067,124
2026-07-29T05:15:50Z,36,1,1067,124
2026-07-29T05:17:50Z,38,1,1067,124
2026-07-29T05:19:50Z,40,1,1067,123
2026-07-29T05:21:50Z,42,1,1067,122
2026-07-29T05:23:50Z,44,1,1067,122
2026-07-29T05:25:50Z,46,1,1067,122
2026-07-29T05:27:50Z,48,1,1067,122
2026-07-29T05:29:50Z,50,1,1067,121
2026-07-29T05:31:51Z,52,1,1068,121
2026-07-29T05:33:51Z,54,1,1069,121
2026-07-29T05:35:51Z,56,1,1070,121
2026-07-29T05:37:51Z,58,1,1070,122
2026-07-29T05:39:51Z,60,1,1071,121
2026-07-29T05:41:51Z,62,1,1042,121
2026-07-29T05:43:51Z,64,1,1042,121
2026-07-29T05:45:51Z,66,1,1048,121
2026-07-29T05:47:51Z,68,1,1048,121
2026-07-29T05:49:52Z,70,1,1048,121
2026-07-29T05:51:52Z,72,1,1048,121
2026-07-29T05:53:52Z,74,1,1049,121
2026-07-29T05:55:52Z,76,1,1049,121
2026-07-29T05:57:52Z,78,1,1049,121
2026-07-29T05:59:52Z,80,1,1049,121
2026-07-29T06:01:53Z,82,1,1087,121
2026-07-29T06:03:53Z,84,1,1173,121
2026-07-29T06:05:53Z,86,1,1133,122
2026-07-29T06:07:53Z,88,1,1202,122
2026-07-29T06:09:54Z,90,1,1179,122
2026-07-29T06:11:54Z,92,1,1179,122
2026-07-29T06:13:54Z,94,1,1179,122
2026-07-29T06:15:54Z,96,1,1179,122
2026-07-29T06:17:54Z,98,1,1179,122
2026-07-29T06:19:54Z,100,1,1179,122
2026-07-29T06:21:54Z,102,1,1179,122
2026-07-29T06:23:54Z,104,1,1179,122
2026-07-29T06:25:54Z,106,1,1179,122
2026-07-29T06:27:54Z,108,1,1179,122
2026-07-29T06:29:55Z,110,1,1179,123
2026-07-29T06:31:55Z,112,1,1179,123
2026-07-29T06:33:55Z,114,1,1179,123
2026-07-29T06:35:55Z,116,1,1179,123
2026-07-29T06:37:55Z,118,1,1179,123
2026-07-29T06:39:55Z,120,1,1179,123
2026-07-29T06:41:55Z,122,1,1179,123
2026-07-29T06:43:56Z,124,1,1179,123
2026-07-29T06:45:56Z,126,1,1211,123
2026-07-29T06:47:56Z,128,1,1179,123
2026-07-29T06:49:56Z,130,1,1179,123
2026-07-29T06:51:56Z,132,1,1179,123
2026-07-29T06:53:56Z,134,1,1179,123
2026-07-29T06:55:56Z,136,1,1179,123
2026-07-29T06:57:56Z,138,1,1179,123
2026-07-29T06:59:57Z,140,1,1179,124
2026-07-29T07:01:57Z,142,1,1179,124
2026-07-29T07:03:57Z,144,1,1179,124
2026-07-29T07:05:57Z,146,1,1179,124
2026-07-29T07:07:57Z,148,1,1179,124
2026-07-29T07:09:57Z,150,1,1179,124
2026-07-29T07:11:57Z,152,1,1186,124
2026-07-29T07:13:57Z,154,1,1186,124
2026-07-29T07:15:58Z,156,1,1186,124
2026-07-29T07:17:58Z,158,1,1186,124
2026-07-29T07:19:58Z,160,1,1186,124
2026-07-29T07:21:58Z,162,1,1186,124
2026-07-29T07:23:58Z,164,1,1186,124
2026-07-29T07:25:58Z,166,1,1186,124
2026-07-29T07:27:58Z,168,1,1186,124
2026-07-29T07:29:58Z,170,1,1186,124
2026-07-29T07:31:59Z,172,1,1186,124
2026-07-29T07:33:59Z,174,1,1188,124
2026-07-29T07:35:59Z,176,1,1188,124
2026-07-29T07:38:00Z,178,1,1188,124
2026-07-29T07:40:00Z,180,1,1192,124
2026-07-29T07:42:01Z,182,1,1192,124
2026-07-29T07:44:01Z,184,1,1192,124
2026-07-29T07:46:01Z,186,1,1192,124
2026-07-29T07:48:01Z,188,1,1193,124
2026-07-29T07:50:02Z,190,1,1193,125
2026-07-29T07:52:02Z,192,1,1182,125
2026-07-29T07:54:02Z,194,1,1212,125
2026-07-29T07:56:02Z,196,1,1246,125
2026-07-29T07:58:02Z,198,1,1246,125
2026-07-29T08:00:02Z,200,1,1247,125
2026-07-29T08:02:02Z,202,1,1247,125
2026-07-29T08:04:02Z,204,1,1247,125
2026-07-29T08:06:03Z,206,1,1247,125
2026-07-29T08:08:03Z,208,1,1247,125
2026-07-29T08:10:03Z,210,1,1247,125
2026-07-29T08:12:03Z,212,1,1247,125
2026-07-29T08:14:03Z,214,1,1247,125
2026-07-29T08:16:03Z,216,1,1247,125
2026-07-29T08:18:04Z,218,1,1247,125
2026-07-29T08:20:04Z,220,1,1247,125
2026-07-29T08:22:04Z,222,1,1247,125
2026-07-29T08:24:04Z,224,1,1247,125
2026-07-29T08:26:04Z,226,1,1247,125
2026-07-29T08:28:04Z,228,1,1247,125
2026-07-29T08:30:05Z,230,1,1253,125
2026-07-29T08:32:05Z,232,1,1253,125
2026-07-29T08:34:05Z,234,1,1253,125
2026-07-29T08:36:05Z,236,1,1253,125
2026-07-29T08:38:05Z,238,1,1253,125
2026-07-29T08:40:05Z,240,1,1253,125
