timestamp,elapsed_min,alive,rss_mib,cpu_pct
2026-07-23T01:45:40Z,1,1,1792,178
2026-07-23T01:46:41Z,2,1,1792,186
2026-07-23T01:47:41Z,3,1,1792,184
2026-07-23T01:48:41Z,4,1,1733,171
2026-07-23T01:49:41Z,5,1,1733,161
2026-07-23T01:50:41Z,6,1,1733,154
2026-07-23T01:51:41Z,7,1,1733,149
2026-07-23T01:52:41Z,8,1,1733,145
2026-07-23T01:53:41Z,9,1,1752,142
2026-07-23T01:54:41Z,10,1,1753,140
2026-07-23T01:55:41Z,11,1,1754,138
2026-07-23T01:56:41Z,12,1,1780,137
2026-07-23T01:57:41Z,13,1,1780,135
2026-07-23T01:58:41Z,14,1,1780,134
2026-07-23T01:59:41Z,15,1,1780,133
2026-07-23T02:00:42Z,16,1,1780,132
2026-07-23T02:01:42Z,17,1,1781,131
2026-07-23T02:02:42Z,18,1,1783,131
2026-07-23T02:03:42Z,19,1,1784,131
2026-07-23T02:04:42Z,20,1,1790,130
2026-07-23T02:05:42Z,21,1,1790,130
2026-07-23T02:06:42Z,22,1,1790,129
2026-07-23T02:07:42Z,23,1,1790,129
2026-07-23T02:08:42Z,24,1,1791,128
2026-07-23T02:09:42Z,25,1,1791,128
2026-07-23T02:10:42Z,26,1,1782,128
2026-07-23T02:11:42Z,27,1,1783,127
2026-07-23T02:12:42Z,28,1,1784,127
2026-07-23T02:13:42Z,29,1,1627,127
2026-07-23T02:14:43Z,30,1,1618,125
2026-07-23T02:15:55Z,31,1,1617,122
2026-07-23T02:17:27Z,32,1,1635,118
2026-07-23T02:18:27Z,33,1,1648,118
2026-07-23T02:19:27Z,34,1,1648,117
2026-07-23T02:20:27Z,35,1,1656,118
2026-07-23T02:21:27Z,36,1,1656,118
2026-07-23T02:22:27Z,37,1,1656,118
2026-07-23T02:23:27Z,38,1,1657,119
2026-07-23T02:24:27Z,39,1,1657,119
2026-07-23T02:25:27Z,40,1,1657,119
2026-07-23T02:26:27Z,41,1,1657,120
2026-07-23T02:27:27Z,42,1,1657,120
2026-07-23T02:28:28Z,43,1,1657,121
2026-07-23T02:29:28Z,44,1,1657,121
2026-07-23T02:30:28Z,45,1,1657,121
2026-07-23T02:31:28Z,46,1,1657,122
2026-07-23T02:32:28Z,47,1,1657,122
2026-07-23T02:33:28Z,48,1,1657,122
2026-07-23T02:34:29Z,49,1,1657,122
2026-07-23T02:35:29Z,50,1,1657,123
2026-07-23T02:36:42Z,52,1,1659,122
2026-07-23T02:37:42Z,53,1,1659,123
2026-07-23T02:38:42Z,54,1,1659,123
2026-07-23T02:39:43Z,55,1,1659,123
2026-07-23T02:40:43Z,56,1,1659,123
2026-07-23T02:41:43Z,57,1,1660,123
2026-07-23T02:42:43Z,58,1,1660,122
2026-07-23T02:43:43Z,59,1,1660,122
2026-07-23T02:44:43Z,60,1,1676,121
