timestamp,elapsed_min,alive,rss_mib,cpu_pct
2026-07-22T06:53:17Z,2,1,80,28
2026-07-22T06:53:42Z,2,1,80,29
2026-07-22T06:55:17Z,4,1,80,31
2026-07-22T06:55:43Z,4,1,80,31.4
2026-07-22T06:57:18Z,6,1,80,32.1
2026-07-22T06:57:44Z,6,1,80,32.2
2026-07-22T06:59:18Z,8,1,80,32.8
2026-07-22T06:59:44Z,8,1,80,33
2026-07-22T07:01:18Z,10,1,80,33
2026-07-22T07:01:44Z,10,1,80,33
2026-07-22T07:03:19Z,12,1,80,32.8
2026-07-22T07:03:45Z,12,1,80,32.7
2026-07-22T07:05:19Z,14,1,83,32.6
2026-07-22T07:05:45Z,14,1,83,32.6
2026-07-22T07:07:19Z,16,1,83,32.6
2026-07-22T07:07:45Z,16,1,83,32.7
2026-07-22T07:09:20Z,18,1,83,32.7
2026-07-22T07:09:46Z,18,1,83,32.7
2026-07-22T07:11:21Z,20,1,83,32.6
2026-07-22T07:11:46Z,20,1,83,32.6
2026-07-22T07:13:21Z,22,1,83,32.7
2026-07-22T07:13:47Z,22,1,83,32.8
2026-07-22T07:15:21Z,24,1,83,32.8
2026-07-22T07:15:47Z,24,1,83,32.8
2026-07-22T07:17:22Z,26,1,83,32.8
2026-07-22T07:17:48Z,26,1,83,32.8
2026-07-22T07:19:22Z,28,1,83,32.8
2026-07-22T07:19:48Z,28,1,83,32.8
2026-07-22T07:21:23Z,30,1,83,32.8
2026-07-22T07:21:48Z,30,1,83,32.8
2026-07-22T07:23:23Z,32,1,83,32.9
2026-07-22T07:23:48Z,32,1,83,32.9
2026-07-22T07:25:23Z,34,1,83,32.8
2026-07-22T07:25:49Z,34,1,83,32.8
2026-07-22T07:27:24Z,36,1,339,33.5
2026-07-22T07:27:49Z,36,1,339,33.8
2026-07-22T07:29:24Z,38,1,339,35.8
2026-07-22T07:29:49Z,38,1,341,36.1
2026-07-22T07:31:25Z,40,1,469,37
2026-07-22T07:31:50Z,40,1,469,37.3
2026-07-22T07:33:26Z,42,1,469,38.2
2026-07-22T07:33:50Z,42,1,469,38.9
2026-07-22T07:35:26Z,44,1,604,42
2026-07-22T07:35:50Z,44,1,604,43
2026-07-22T07:37:26Z,46,1,604,46.9
2026-07-22T07:37:50Z,46,1,605,47.8
2026-07-22T07:39:26Z,48,1,605,51.5
2026-07-22T07:39:50Z,48,1,605,52.3
2026-07-22T07:41:27Z,50,1,606,55.2
2026-07-22T07:41:51Z,50,1,606,56.1
2026-07-22T07:43:27Z,52,1,606,59.2
2026-07-22T07:43:51Z,52,1,606,60
2026-07-22T07:45:27Z,54,1,606,62.1
2026-07-22T07:45:51Z,54,1,606,62.3
2026-07-22T07:47:27Z,56,1,606,64.8
2026-07-22T07:47:51Z,56,1,606,65.3
2026-07-22T07:49:27Z,58,1,606,67.4
2026-07-22T07:49:51Z,58,1,606,67.6
2026-07-22T07:51:28Z,60,1,606,68.9
2026-07-22T07:51:51Z,60,1,606,69.5
2026-07-22T07:53:28Z,62,1,607,72
2026-07-22T07:53:51Z,62,1,607,72.4
2026-07-22T07:55:28Z,64,1,607,73.2
2026-07-22T07:55:51Z,64,1,607,73.5
2026-07-22T07:57:28Z,66,1,607,74.9
2026-07-22T07:57:51Z,66,1,607,75.1
2026-07-22T07:59:28Z,68,1,607,75.7
2026-07-22T07:59:51Z,68,1,607,76
2026-07-22T08:01:28Z,70,1,607,77.7
2026-07-22T08:01:51Z,70,1,607,78.2
2026-07-22T08:03:28Z,72,1,607,79.6
2026-07-22T08:03:51Z,72,1,607,80
2026-07-22T08:05:29Z,74,1,606,80.9
2026-07-22T08:05:51Z,74,1,606,81.1
2026-07-22T08:07:29Z,76,1,606,82.1
2026-07-22T08:07:51Z,76,1,606,82.3
2026-07-22T08:09:29Z,78,1,606,82.7
2026-07-22T08:09:52Z,78,1,606,82.9
2026-07-22T08:11:29Z,80,1,607,83.1
2026-07-22T08:11:52Z,80,1,607,83.2
2026-07-22T08:13:29Z,82,1,607,83.3
2026-07-22T08:13:52Z,82,1,607,83.5
2026-07-22T08:15:29Z,84,1,607,84.7
2026-07-22T08:15:52Z,84,1,607,84.9
2026-07-22T08:17:29Z,86,1,607,86.3
2026-07-22T08:17:52Z,86,1,607,86.6
2026-07-22T08:19:30Z,88,1,606,87.7
2026-07-22T08:19:52Z,88,1,606,87.9
2026-07-22T08:21:30Z,90,1,606,88.8
2026-07-22T08:21:52Z,90,1,606,88.8
2026-07-22T08:23:30Z,92,1,606,88.5
2026-07-22T08:23:52Z,92,1,606,88.6
2026-07-22T08:25:30Z,94,1,606,89.4
2026-07-22T08:25:52Z,94,1,606,89.4
2026-07-22T08:27:31Z,96,1,606,90.4
2026-07-22T08:27:53Z,96,1,606,90.5
2026-07-22T08:29:31Z,98,1,606,90.6
2026-07-22T08:29:53Z,98,1,606,90.7
2026-07-22T08:31:31Z,100,1,606,91.3
2026-07-22T08:31:53Z,100,1,606,91.4
2026-07-22T08:33:31Z,102,1,606,91.9
2026-07-22T08:33:53Z,102,1,606,92
2026-07-22T08:35:31Z,104,1,606,92.4
2026-07-22T08:35:53Z,104,1,606,92.5
2026-07-22T08:37:31Z,106,1,606,92.4
2026-07-22T08:37:53Z,106,1,606,92.3
2026-07-22T08:39:32Z,108,1,606,92.3
2026-07-22T08:39:54Z,108,1,606,92.4
2026-07-22T08:41:32Z,110,1,606,92.4
2026-07-22T08:41:54Z,110,1,606,92.4
2026-07-22T08:43:32Z,112,1,606,92.3
2026-07-22T08:43:54Z,112,1,606,92.4
2026-07-22T08:45:32Z,114,1,606,92.3
2026-07-22T08:45:55Z,114,1,606,92.2
2026-07-22T08:47:33Z,116,1,606,92.3
2026-07-22T08:47:55Z,116,1,606,92.3
2026-07-22T08:52:11Z,120,1,606,92.2
2026-07-22T08:53:25Z,121,1,606,92.4
2026-07-22T09:05:38Z,134,1,606,93.1
2026-07-22T09:22:48Z,151,1,606,93.3
2026-07-22T11:17:56Z,266,1,606,93.3
2026-07-22T11:18:19Z,266,0,0,0
