sample,stamp_sec,stamp_nanosec,peak_range_m,peak_error_m,peak_value_db,peak_index,expected_bin_range_m,expected_bin_value_db,expected_bin_rank
1,1787933247,809827000,4.038461208343506,0.048461208343505646,82.1760482788086,161,3.9882943630218506,81.76332092285156,2
2,1787933248,397964000,4.063545227050781,0.07354522705078104,74.76522827148438,162,3.9882943630218506,69.18717193603516,4
3,1787933254,375617000,3.9882943630218506,-0.0017056369781496272,79.51399993896484,159,3.9882943630218506,79.51399993896484,1
4,1787933258,433366000,4.013377666473389,0.02337766647338846,80.550537109375,160,3.9882943630218506,80.00515747070312,2
5,1787933260,172738000,4.013377666473389,0.02337766647338846,80.41618347167969,160,3.9882943630218506,79.40303039550781,2
