case,expected_range_m,common_finite_points,point_xyz_rmse,point_xyz_max_abs,intensity_rmse,raw_first_frame_rmse,cpu_center_error_m,wgpu_center_error_m,cpu_raw_peak_error_m,wgpu_raw_peak_error_m,cpu_expected_rank_max,wgpu_expected_rank_max
plane_2m_dark,2.0,154413,0.0,0.0,0.0,139.03061836931545,7.867813110351562e-06,7.867813110351562e-06,-0.0183945894241333,0.5836119651794434,3,51
plane_4m_dark,4.0,133343,0.0,0.0,0.0,135.70542672534103,1.621246337890625e-05,1.621246337890625e-05,-0.011705636978149414,1.1421403884887695,1,142
plane_4m_bright,4.0,133343,0.0,0.0,0.0,135.70542672534103,1.621246337890625e-05,1.621246337890625e-05,-0.011705636978149414,1.1421403884887695,1,142
plane_7m_dark,7.0,96019,0.0,0.0,0.0,133.5917705680564,2.765655517578125e-05,2.765655517578125e-05,-0.0016722679138183594,1.9799327850341797,1,353
sphere_4m_bright,4.0,6275,0.0,0.0,0.0,115.4965172657326,0.0011696815490722656,0.0011696815490722656,-0.011705636978149414,1.1672239303588867,1,130
cylinder_4m_bright,4.0,15351,0.0,0.0,0.0,117.59351610807094,0.00078582763671875,0.00078582763671875,-0.011705636978149414,1.1421403884887695,1,132
