case,expected_range_m,cpu_peak_range_median,old_wgpu_peak_range_median,exact_dft_wgpu_peak_range_median,cpu_peak_error_median,old_wgpu_peak_error_median,exact_dft_wgpu_peak_error_median,exact_dft_unique_raw_hashes,exact_dft_rank_max
plane_2m_dark,2.0,1.9816054105758667,2.5836119651794434,2.5836119651794434,-0.0183945894241333,0.5836119651794434,0.5836119651794434,3,42
plane_4m_dark,4.0,3.9882943630218506,5.1421403884887695,5.167223930358887,-0.011705636978149414,1.1421403884887695,1.1672239303588867,3,142
plane_4m_bright,4.0,3.9882943630218506,5.1421403884887695,5.167223930358887,-0.011705636978149414,1.1421403884887695,1.1672239303588867,3,142
plane_7m_dark,7.0,6.998327732086182,8.97993278503418,8.97993278503418,-0.0016722679138183594,1.9799327850341797,1.9799327850341797,3,353
sphere_4m_bright,4.0,3.9882943630218506,5.167223930358887,5.167223930358887,-0.011705636978149414,1.1672239303588867,1.1672239303588867,3,131
cylinder_4m_bright,4.0,3.9882943630218506,5.1421403884887695,5.1421403884887695,-0.011705636978149414,1.1421403884887695,1.1421403884887695,3,127
