case,expected_range_m,cpu_peak_range_median,old_wgpu_peak_range_median,exact_dft_wgpu_peak_range_median,cpu_peak_error_median,old_wgpu_peak_error_median,exact_dft_wgpu_peak_error_median,exact_dft_unique_raw_hashes,exact_dft_rank_max
plane_2m_dark,2.0,1.9816054105758667,2.5836119651794434,2.0066888332366943,-0.0183945894241333,0.5836119651794434,0.006688833236694336,3,4
plane_4m_dark,4.0,3.9882943630218506,5.1421403884887695,4.038461208343506,-0.011705636978149414,1.1421403884887695,0.03846120834350586,3,5
plane_4m_bright,4.0,3.9882943630218506,5.1421403884887695,4.013377666473389,-0.011705636978149414,1.1421403884887695,0.013377666473388672,3,5
plane_7m_dark,7.0,6.998327732086182,8.97993278503418,6.998327732086182,-0.0016722679138183594,1.9799327850341797,-0.0016722679138183594,3,3
sphere_4m_bright,4.0,3.9882943630218506,5.167223930358887,4.013377666473389,-0.011705636978149414,1.1672239303588867,0.013377666473388672,3,10
cylinder_4m_bright,4.0,3.9882943630218506,5.1421403884887695,4.038461208343506,-0.011705636978149414,1.1421403884887695,0.03846120834350586,3,5
