beams,rays,total_rays,rtf,sim_delta,real_delta,msgs
512,300,153600,0.438000,19.996,45.653,410
512,60,30720,0.538212,25.006,46.461,440
128,60,7680,0.661120,32.257,48.791,473
64,15,960,0.782877,39.359,50.275,497
